OBJECTID;IDEST;ESTACION;DIRECC;POBLACION;LINK_ESTAC;ZONA;LINK_ZONA;PROVCOD;NO2;NO_;NOX;O3;CO;SO2;PST;PM10;PM2_5;BEN;ETB;MPX;O_X;TOL;NH3;SH2;HC;MSV;CL2;HCL;HCMET;HCNOMET;TEMPERATUR;HUMEDAD;PRESION;RADIACION;RAD_UV;LLUVIA;LL_ACIDA;DIR_VIENTO;V_VIENTO;XUTM;YUTM
64;24,00;Easo;Plaza Centenario;Donostia;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=EASO&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;582772,51;4796223,45
65;25,00;Eibar;;Eibar;;;;GIPUZKOA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543818,00;4781984,57
66;26,00;Elciego;C/Gabriel Celaya,8;Elciego;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@RIOJA&CodEst=ELCIEG&lenguaje=c;Rioja Alavesa/Arabako errioxa;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@RIOJA;ARABA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;531363,16;4707600,83
67;27,00;Elgoibar;Ermuaren bide Kalea,7-1,bj;Elgoibar;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@KOSTA&CodEst=ELGOIB&lenguaje=c;Kostaldea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@KOSTA;GIPUZKOA;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;548063,19;4785172,22
68;28,00;Elorrieta;Avda.Lehendakari Agirre s/n,;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ELORRI&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;502888,04;4792447,11
69;29,00;Erandio;JoséLuis Goyoaga Etorb.s/n;Erandio;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=ERANDI&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;501949,21;4794629,17
70;30,00;Farmacia;Paseo Universidad 7-Fac.Farmacia;Vitoria-Gasteiz;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@LLALV&CodEst=FARMAC&lenguaje=c;Llanada Alavesa/Arabako lautada;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@LLALV;ARABA;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;526850,71;4743322,36
71;31,00;Feria;C/Rafael Moreno Pitxitxi s/n;Bilbao;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=FERIA&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504219,55;4790452,25
72;32,00;Getxo (Trinitarios);C/Lorenzo Areilza, 2;Getxo;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@BJNVN&CodEst=GETXO&lenguaje=c;Bajo Nervión/Nerbioi behera;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@BJNVN;BIZKAIA;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;499026,28;4800335,78
73;33,00;Hernani;Centro de Salud;Hernani;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/estaciones.apl?CodZona=@DONOS&CodEst=HERNA1&lenguaje=c;Donostialdea;http://www.ingurumena.ejgv.euskadi.net/r49-n82/es/vima_ai_vigilancia/est_zona.apl?CodZona=@DONOS;GIPUZKOA;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;583056,62;4791230,07
